rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
2,cycles,3514,53888270353.91368,1403054818.398839,0.026036367639640543,6332158034.640407,56275526453.09254,53347122558.54282,53464328420.87519,53562296643.64996,53669237890.772964,54413102552.908005,54718551471.6324,54932138418.559616,0.6305484483153532
2,L2_RQSTS.MISS,3514,607896190.0226984,55750372.59977748,0.09171035040982212,187076575.50432393,702169973.0083939,476374476.571958,493240251.88504815,573639364.0893085,633332383.6318345,648341862.0880535,659099037.0560728,664487157.0396348,0.30684415836741147
2,L2_RQSTS.REFERENCES,3514,846873090.4433533,69320991.60650404,0.08185523000880009,242300412.90023968,1000139795.3851272,676772056.5665027,704325857.2337363,805062842.3416927,881976647.607658,893574383.1032894,903593515.3821379,912154294.5634258,0.28053432116539523
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,3514,720368485.4741952,32061390.481311608,0.04450693100518776,142855040.22393176,1124552920.7428555,645858377.2659975,659710839.5429441,711107645.9736435,731654755.0040445,738669116.6558251,744674511.320951,750283651.2280165,0.3351130639737886
2,MEM_LOAD_RETIRED.L1_HIT,3514,11104266460.547804,627916262.4979546,0.05654729780925824,1244346095.9636595,24146260055.10027,10487589132.892794,10544723451.984072,10672331097.697912,10954040440.905722,11442920431.938921,12153025315.256681,12439478655.097364,0.41829064023736984
2,MEM_LOAD_RETIRED.L2_HIT,3514,90500143.04458596,16270095.569726352,0.17977977738345338,16986502.50185683,285321249.0530431,63321075.56789509,68949827.3432731,80011937.00193849,86586066.15054518,98678318.0600329,123317105.27005284,135145646.21826684,0.8234352649762033
2,MEM_LOAD_RETIRED.L1_MISS,3514,452144360.0775942,20139258.93388326,0.04454165685142481,84008616.70352599,589784664.8388727,411328150.0170786,417114462.5959042,447239651.2782541,454082140.41819143,463647812.3938453,473544403.3955415,480510662.4801453,0.35655878091852605
2,MEM_LOAD_RETIRED.L2_MISS,3514,360440873.7708343,16539680.687391726,0.04588736153688145,66991353.60889039,388844330.7526886,319989609.4320158,337462581.84455943,353928440.2220024,364186758.864538,367481375.6474853,379348054.865886,384126203.45923924,0.5000780577305178
2,TOPDOWN.SLOTS_P,3473,8.895411414202741e+47,5.232529452526574e+49,58.82279311075061,-1.9363826351844434e+48,3.0836213058762497e+51,-7.418030241518491e+45,-1.5770282948137247e+24,106900423016.56793,151068186846.28983,1355865868924.0718,4.0256800158197336e+26,7.419891996246691e+45,-0.0002891737619036997
2,TOPDOWN.MEMORY_BOUND_SLOTS,2187,1.4517774309957032e+46,6.789291133769219e+47,46.76537180435968,-0.0,3.1750372415876025e+49,955769214.220764,1013819984.2480419,1220761125.127418,1286461305.1148293,1373872909813.9277,1395502067740.184,1406855450290.5378,-0.0004576659038901604
2,MEMORY_ACTIVITY.STALLS_L1D_MISS,3514,54320990556.057304,1701539710.0471115,0.031323797534420585,6013608318.98092,55647037028.80697,52362521052.05887,53581026251.15284,54154923416.36727,54419479687.855194,54666160202.35264,55190327945.26458,55397525851.92965,0.852044652623207
2,MEMORY_ACTIVITY.STALLS_L2_MISS,3514,54005164849.69835,1694837449.1993344,0.031382877062151975,5931356248.904346,55300655585.641075,51959567019.40159,53258675857.81716,53849650806.20218,54118710187.4723,54354128315.84699,54841054154.802315,55028906155.52958,0.8552105285998537
3,instructions,3510,29190631216.060287,1568356595.0358396,0.05372808088414858,3701174091.3917246,55806470227.11401,27556327617.38184,27680503681.09392,28080091521.38495,28901365023.9254,30307885201.85583,31432063704.708115,32418529231.154472,0.5855441136909912
3,cycles,3510,53928888131.27978,1511095561.020273,0.028020150486726035,3902706313.774025,55179853551.72155,53382783545.94227,53493828630.65477,53609089045.50636,53732056218.7144,54448033474.62754,54748336905.00757,54952822040.8972,0.8348694652096083
3,L2_RQSTS.MISS,3510,607492738.4557317,55961709.18658468,0.09211914092807322,85838117.22467624,724110574.8434741,476434580.6892282,492574111.2989793,572255818.2477294,632593694.2095184,647879103.6558939,658918567.562506,667108187.5509393,0.30433171888901756
