rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
2,cycles,96720,5183370097.773737,140692287.180164,0.02714301400947455,5037598244.694346,6042269339.102153,5087776591.196565,5091738749.51268,5114889484.757987,5128318180.0919285,5171776068.29931,5432311379.353153,5853100142.719346,0.8365353624364807
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,96720,71711789.19043499,27705461.987864845,0.3863445927180999,4732608.104468411,370628960.7604553,46680162.787315026,51337362.92225633,52294640.57586554,57418118.51704994,79949455.05208431,147934376.94914043,153098775.67273834,0.816092182606371
2,MEM_LOAD_RETIRED.L1_HIT,96720,1086348108.772096,226587102.76186356,0.20857688335093247,47647924.605715364,5872034121.126729,505815476.9925472,514856463.77492654,1152039798.8097324,1171554378.130362,1179052317.5564113,1240940106.642228,1340414926.4898925,0.8134522555967043
2,MEM_LOAD_RETIRED.L2_HIT,96720,4748569.891352291,4570833.623403839,0.9625705692418824,60432.95294602142,58077288.11336547,75991.57323630374,140788.95662407295,1936925.3748835637,2490851.0634678984,7111862.818090698,16279283.529184217,19088127.860587843,0.9202638965961926
2,MEM_LOAD_RETIRED.L1_MISS,96720,25268513.44987966,11254472.47182139,0.445395115709705,2673582.4011704447,121081944.3907542,11930320.0295721,18109441.862417124,18369529.11866668,20477414.99573502,26974115.031925164,57560406.30152009,60183116.16925876,0.7564270011437
2,MEM_LOAD_RETIRED.L2_MISS,96720,30793531.632301927,15084648.919772282,0.4898642058953941,308098.7852194191,93450840.86260238,16783084.715410203,20805196.69508297,24496133.413442906,24749493.23127389,31730570.498655826,80852248.97490989,85476956.20759366,0.6547421171339557
2,MEM_LOAD_RETIRED.L3_HIT,96720,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,MEM_LOAD_RETIRED.L3_MISS,96720,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,instructions,96445,3945019308.0372596,606994721.9771203,0.15386356176774063,544896165.6895123,11461443035.900991,2684133098.504526,2733428797.157388,3646457732.011432,4278261907.4909844,4304499056.7041,4638499079.405068,4865378007.156365,0.9071476664648638
3,cycles,96445,5178020941.915208,143916313.88426143,0.027793690967775564,3826782468.4773273,6012159487.094015,5086909322.605241,5089738422.504829,5114220437.6824,5126194293.21146,5141989670.023563,5445819867.391069,5844868390.24676,0.8413971292514478
3,MEM_LOAD_COMPLETED.L1_MISS_ANY,96445,71958609.05858918,27783897.341132447,0.3861094274141766,34389807.724282704,154542310.23209825,47169478.333235614,52046097.19950394,52454129.93317272,57658484.826705456,81807095.89025316,147538136.57220253,153605434.13612273,0.819829944794905
3,MEM_LOAD_RETIRED.L1_HIT,96445,1085343946.5861335,221627580.64312163,0.2042003194841914,57536077.72419391,2227719035.935023,511509894.47565186,520773597.2172611,1141518919.5828764,1175420741.2689364,1182717270.8893003,1242482057.198459,1325112113.8662179,0.812880686746952
3,MEM_LOAD_RETIRED.L2_HIT,96445,4719583.67598713,4652360.652654055,0.9857565777093643,60529.94817000056,19953281.868536454,87443.04783106955,145506.44237220412,1952727.7448373663,2428961.633169404,6947549.950190465,16667542.406406345,19589462.80054399,0.9211229813263686
3,MEM_LOAD_RETIRED.L1_MISS,96445,25277931.641932033,11307815.601941431,0.44733943275578686,7251496.130681316,60623809.5908003,11888646.738485172,18269155.7607142,18401577.696092762,20452090.12479466,25892008.707157932,57277264.03218442,60319153.26705941,0.7602094309311637
3,MEM_LOAD_RETIRED.L2_MISS,96445,30850620.05548832,15127599.110252783,0.4903499211051217,10727791.70531528,86514635.50666791,16807643.295472693,21043202.08629522,24531222.904637318,24784303.253009904,31322174.825266644,80957728.58700155,85819040.64344546,0.6532034617629935
3,MEM_LOAD_RETIRED.L3_HIT,96445,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,MEM_LOAD_RETIRED.L3_MISS,96445,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
