rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s,cov_mean,cov_min
2,MEM_LOAD_RETIRED.L1_HIT,7639,8903049220.796831,2565947680.3264937,0.2882099847693349,150675421.0,12685534038.0,4789737985.9,4997313587.2,6517400522.0,9011393535.0,11323688657.5,12525191272.6,12598034241.52,-0.7500099979258107,66735.17468379445,0.03759368764860753,0.033562261572532594,49.99989318847656,49.439998626708984
2,MEM_LOAD_RETIRED.L2_HIT,7639,57908795.91582668,64982381.55255359,1.1221504527051247,2877360.0,440349628.0,23131629.4,24756608.6,30273126.0,43336443.0,54401123.5,185768506.39999995,402266004.9399999,0.714751702453344,-12569.655105334186,0.9886926720437742,0.6860778512242472,33.33345413208008,32.95000076293945
2,MEM_LOAD_RETIRED.L1_MISS,7639,206407427.09058776,90685219.92250393,0.43935056601768574,27675707.0,655489794.0,139804464.82,146161543.7,160773059.5,178123931.0,216880734.0,415684499.1999999,636387471.06,0.6369172452110535,-17227.41531393149,0.3752392880532872,0.26329746252768166,33.33378219604492,33.08000183105469
2,MEM_LOAD_RETIRED.L2_MISS,7639,148267541.73386568,31206049.3379741,0.21047121286995987,17362127.0,329435513.0,112509484.1,119918677.5,127622367.0,137645257.0,161129836.5,214030927.09999996,269515299.18,0.35899613142871495,-4686.032356066092,0.1548109828482568,0.12334297591014909,33.332313537597656,32.91999816894531
2,TOPDOWN.SLOTS_P,7639,173496067752.8806,9232800710.662998,0.05321619579190551,20218994198.0,189699508349.0,161628117645.9,162176081672.9,167783167467.0,173825554445.0,180055013685.0,184823651856.0,187379872751.62,0.006292048310487815,-687399.3206228308,0.014748542757414568,0.013065969494405763,41.66617965698242,41.029998779296875
2,TOPDOWN.MEMORY_BOUND_SLOTS,7639,103445729715.47127,8833560203.542,0.08539318372869344,15146244706.0,120663434581.0,89414598835.86,90766701362.5,96572091506.5,103542052701.0,110556889510.0,116179278278.2,117171101255.48,-0.482052949043613,231648.87902110154,0.016935454460696792,0.009885906954147677,41.66617965698242,41.029998779296875
2,MEMORY_ACTIVITY.STALLS_L1D_MISS,7639,44069490746.499146,1945775001.6998315,0.04415242764869941,2566500192.0,47981610160.0,42507074552.26,42918681470.0,43327382992.5,43991501209.0,44665231123.5,46252309423.299995,47034625033.06,0.677921532593097,-63763.24329111755,0.015310994476862601,0.012825284101719257,41.66752624511719,40.939998626708984
2,MEMORY_ACTIVITY.STALLS_L2_MISS,7639,43675195138.66972,1932519388.8661766,0.044247527291644245,2494498899.0,47668946515.0,41440729666.48,42536230036.0,42944958342.0,43619637354.0,44281393414.5,45774092017.0,46581379955.68,0.6763648765473752,-35528.50251631067,0.015402306513495318,0.012085140878508116,41.66672897338867,40.880001068115234
3,instructions,7698,26350646042.09327,7121463325.39022,0.27025763672033665,1033682452.0,40557193223.0,14737494819.04,15316358879.4,19978743941.0,26866414793.0,32715870006.0,36653933418.15,36805036386.37,-0.7332694231633282,40896.744432645035,0.033970174404685805,0.02413629359445858,50.00008010864258,49.720001220703125
3,cycles,7698,58047893598.61769,3231647489.876331,0.055672088848255585,3381132199.0,63477076563.0,53939271054.17,54149609621.75,56058219057.75,58116562910.0,60198315726.75,62124948165.9,62911275048.41,0.09429411872119657,-374793.92117539316,0.01916656924486764,0.017466379193697073,58.334110260009766,58.06999969482422
3,L2_RQSTS.MISS,7698,859128584.4855807,177607591.24776098,0.2067299289711177,92627424.0,1549066108.0,347130446.29,509095880.2,768786791.5,858124270.5,1017982936.0,1071945402.0,1122205384.9599998,0.023186367938408097,27247.280208452157,0.12397335316573901,0.09758513569113304,58.33253860473633,58.06999969482422
3,L2_RQSTS.REFERENCES,7698,1178356418.704079,258597583.61787874,0.21945616751702055,145461221.0,2857515256.0,514511053.15,771790404.85,1027024339.25,1141289938.5,1378766476.0,1438322252.4,1971208802.5199976,0.11440839725869068,5567.722110674725,0.14240842405030352,0.09577122040262118,58.33361053466797,58.11000061035156
3,MEM_LOAD_COMPLETED.L1_MISS_ANY,7698,493297557.82722783,174773611.8929713,0.35429652776465576,66126560.0,1230893148.0,317401863.39,320494473.45,357961675.0,468132151.5,570969769.5,863912849.3499999,1197844458.8999999,0.36282530412683317,-30826.929077798995,0.2761390085368918,0.19325972254251286,49.99987030029297,49.77000045776367
3,MEM_LOAD_RETIRED.L1_HIT,7698,8831968284.316317,2504721457.293329,0.28359719789089116,150113636.0,13057540681.0,4763606875.96,4967157738.3,6475963303.0,8994070179.5,11188472327.5,12316744247.6,12370123947.49,-0.7383871606490605,55417.69280872807,0.03602153606750698,0.03182377940224667,49.99995803833008,49.75
3,MEM_LOAD_RETIRED.L2_HIT,7698,58444580.47544817,65881586.00781653,1.1272488479148646,3053587.0,447268111.0,22708655.44,24925793.95,30127991.75,43905868.0,54841369.0,190231136.14999983,405904158.77999973,0.7151244993957804,-12478.286980209485,0.9934090714236716,0.6988219283654182,33.33353042602539,33.18000030517578
3,MEM_LOAD_RETIRED.L1_MISS,7698,207730723.49844116,91719730.66924667,0.4415318501017735,20505948.0,655883001.0,140663069.21,146243537.75,161754308.75,177687573.0,217734324.25,429532930.04999983,641141623.0099998,0.6405968272652122,-17500.148364843513,0.3774668652147653,0.2683962857596614,33.33405685424805,33.15999984741211
3,MEM_LOAD_RETIRED.L2_MISS,7698,149007412.53494415,31378163.544229012,0.21058122552708866,13717520.0,341580632.0,114435739.69,120390211.0,128463861.5,137892122.5,161758894.0,216810763.7499999,271348038.15999997,0.37372887624217854,-5055.020693014431,0.15540803258658414,0.12503438325699853,33.332275390625,33.15999984741211
3,TOPDOWN.SLOTS_P,7698,173830654851.6385,9432038955.802338,0.054259928801697395,20195231288.0,190098556930.0,161491173059.14,162125445234.0,167851090567.5,174052859305.0,180286878785.0,185983595173.35,188261113654.52,0.053246199267449015,-1125984.2987566344,0.019041739597643464,0.017365715869299463,41.66612243652344,41.45000076293945
3,TOPDOWN.MEMORY_BOUND_SLOTS,7698,102481602088.70654,9475664402.827463,0.0924621025598865,15188940808.0,118664865846.0,87510817065.06,88242055104.1,95332785683.75,102694876286.0,110175067868.25,116233919417.2,117235167738.06999,-0.5155637785319932,-233654.308250743,0.019346788908372842,0.013968523577445645,41.66612243652344,41.45000076293945
3,MEMORY_ACTIVITY.STALLS_L1D_MISS,7698,44217614746.87205,2029803899.4677708,0.04590487096799718,2554794426.0,48111235015.0,42434121216.68,42948213947.0,43382382973.0,44060020843.5,44748211466.0,46822422570.1,47438688628.01,0.676412350093583,-196070.52114542294,0.0200679591792939,0.017344929020022957,41.66749572753906,41.31999969482422
3,MEMORY_ACTIVITY.STALLS_L2_MISS,7698,43825620865.39348,2018727457.6192794,0.04606272353378911,2541970491.0,47794743430.0,41574150822.49,42567806468.3,42984065845.0,43683454097.0,44374855972.75,46411600733.8,46987379194.67,0.674346815402179,-169148.62397136076,0.020284569109285194,0.016856976782622612,41.66667938232422,41.31999969482422
